ID,School_Number,School_Name,Suburb,Post_Code,Type_of_Schooling,Index_of_Educational_Disadvantage,Latitude,Longitude
105,1030,Edward John Eyre High School,Whyalla Norrie,5608,Secondary Education,2,-33.026208,137.540961
106,127,Edwardstown Primary School,Melrose Park,5039,Primary Education,6,-34.978729,138.57801
107,947,Elizabeth Downs Primary School,Elizabeth Downs,5113,Primary Education,1,-34.698783,138.69474
108,943,Elizabeth East Primary School,Elizabeth East,5112,Primary Education,2,-34.725069,138.677471
109,897,Elizabeth Grove Primary School,Elizabeth Grove,5112,Primary Education,1,-34.73263,138.67034
110,825,Elizabeth North Primary School,Elizabeth North,5113,Primary Education,2,-34.703341,138.674156
111,948,Elizabeth Park Primary School,Elizabeth Park,5113,Primary Education,2,-34.712946,138.684899
112,688,Elizabeth South Primary School,Elizabeth South,5112,Primary Education,1,-34.730502,138.661118
113,949,Elizabeth Vale Primary School,Elizabeth Vale,5112,Primary Education,1,-34.746118,138.669137
114,128,Elliston Area School,Elliston,5670,Primary/Secondary Combined,5,-33.644153,134.892451
115,660,Enfield Primary School,Enfield,5085,Primary Education,2,-34.865172,138.603431
116,1034,Ernabella Anangu School,Ernabella,872,Aboriginal/Anangu Schools,1,-26.283843,132.13524
117,1415,Errington Special Education Centre,Plympton,5038,Special Education,6,-34.962459,138.548514
118,755,Eudunda Area School,Eudunda,5374,Primary/Secondary Combined,3,-34.181019,139.091242
119,142,Evanston Gardens Primary School,Evanston Gardens,5116,Primary Education,3,-34.624606,138.718986
120,1103,Fairview Park Primary School,Fairview Park,5126,Primary Education,6,-34.797794,138.731846
121,1228,Felixstow Community School,Felixstow,5070,Primary Education,5,-34.892516,138.644709
122,805,Findon High School,Findon,5023,Secondary Education,3,-34.898332,138.526613
123,968,Fisk Street Primary School,Whyalla Norrie,5608,Primary Education,1,-33.016958,137.533218
124,1018,Flagstaff Hill R-7 School,Flagstaff Hill,5159,Primary Education,7,-35.04944,138.589485
125,1142,Flaxmill School P-7,Morphett Vale,5162,Primary Education,3,-35.127831,138.519309
126,135,Flinders Park Primary School,Flinders Park,5025,Primary Education,4,-34.911103,138.54754
127,1396,Flinders View Primary School,Port Augusta West,5700,Primary Education,1,-32.472843,137.753921
128,658,Forbes Primary School,South Plympton,5038,Primary Education,4,-34.978139,138.557598
129,138,Frances Primary School,Frances,5262,Primary Education,7,-36.708483,140.956465
130,1382,Fraser Park Primary School,Murray Bridge,5253,Primary Education,1,-35.140404,139.281525
131,139,Freeling Primary School,Freeling,5372,Primary Education,6,-34.457842,138.811414
132,1196,Fregon Anangu School,Fregon,872,Aboriginal/Anangu Schools,1,-26.765131,132.028295
133,934,Fulham Gardens Primary School,Henley Beach,5022,Primary Education,5,-34.912392,138.503289
134,1166,Fulham North Primary School,Henley Beach,5022,Primary Education,6,-34.919552,138.505142
135,774,Gawler and District College B-12,Evanston,5116,Primary/Secondary Combined,4,-34.619476,138.736184
136,1008,Gawler East Primary School,Gawler East,5118,Primary Education,5,-34.598085,138.761294
137,141,Gawler Primary School,Gawler,5118,Primary Education,4,-34.597541,138.740692
138,145,Geranium Primary School,Geranium,5301,Primary Education,7,-35.379183,140.160086
139,120,Gilles Street Primary School,Adelaide,5000,Primary Education,4,-34.93449,138.604464
140,775,Gladstone High School,Gladstone,5473,Secondary Education,4,-33.275577,138.35211
141,147,Gladstone Primary School,Gladstone,5473,Primary Education,3,-33.266137,138.350584
142,152,Glen Osmond Primary School,Myrtle Bank,5064,Primary Education,7,-34.957051,138.637255
143,148,Glenburnie Primary School,Glenburnie,5291,Primary Education,5,-37.84041,140.863876
144,1217,Glencoe Central Primary School,Glencoe,5291,Primary Education,6,-37.669641,140.594383
145,1017,Glenelg Primary School,Glenelg East,5045,Primary Education,6,-34.984803,138.521418
146,927,Glenunga International High School,Glenunga,5064,Secondary Education,7,-34.949336,138.635192
147,776,Glossop High School,Glossop,5344,Secondary Education,3,-34.2748,140.535148
148,153,Glossop Primary Community School K-7,Glossop,5344,Primary Education,2,-34.271342,140.524768
149,1834,Golden Grove High School,Golden Grove,5125,Secondary Education,5,-34.792874,138.696789
150,1848,Golden Grove Primary School,Golden Grove,5125,Primary Education,6,-34.786332,138.708915
151,156,Goodwood Primary School,Goodwood,5034,Primary Education,7,-34.951478,138.588905
152,157,Goolwa Primary School,Goolwa,5214,Primary Education,4,-35.497553,138.780252
153,1645,Gordon Education Centre,Mount Gambier,5290,Special Education,3,-37.825123,140.768224
154,1022,Grange Primary School,Grange,5022,Primary Education,6,-34.903495,138.497089
155,928,Grant High School,Mount Gambier,5290,Secondary Education,3,-37.84719,140.796014
156,160,Greenock Primary School,Greenock,5360,Primary Education,6,-34.459939,138.921793
157,1858,Greenwith Primary School,Greenwith,5125,Primary Education,6,-34.77021,138.720617
158,1201,Gulfview Heights Primary School,Gulfview Heights,5096,Primary Education,5,-34.792078,138.668666
159,162,Gumeracha Primary School,Gumeracha,5233,Primary Education,6,-34.824981,138.880956
160,1066,Hackham East Primary School,Hackham,5163,Primary Education,3,-35.140077,138.534755
161,1131,Hackham West R-7 School,Hackham West,5163,Primary Education,1,-35.144159,138.517588
162,163,Hahndorf Primary School,Hahndorf,5245,Primary Education,7,-35.027474,138.810676
163,1053,Hallett Cove East Primary School,Hallett Cove,5158,Primary Education,7,-35.071138,138.517181
164,640,Hallett Cove School,Hallett Cove,5158,Primary/Secondary Combined,6,-35.075965,138.511116
165,1054,Hallett Cove South Primary School,Hallett Cove,5158,Primary Education,5,-35.082581,138.503953
166,823,Hamilton Secondary College,Mitchell Park,5043,Secondary Education,3,-34.99837,138.560781
167,167,Hamley Bridge Primary School,Hamley Bridge,5401,Primary Education,4,-34.354776,138.684713
168,689,Hampstead Primary School,Greenacres,5086,Primary Education,2,-34.870813,138.625981
169,171,Happy Valley Primary School,Happy Valley,5159,Primary Education,6,-35.086923,138.583583
170,175,Hawker Area School,Hawker,5434,Primary/Secondary Combined,3,-31.89042,138.427892
171,972,Hawthorndene Primary School,Hawthorndene,5051,Primary Education,7,-35.020774,138.636088
172,926,Heathfield High School,Heathfield,5153,Secondary Education,7,-35.020536,138.712609
173,176,Heathfield Primary School,Heathfield,5153,Primary Education,7,-35.029961,138.727279
174,670,Hendon Primary School,Royal Park,5014,Primary Education,3,-34.877824,138.510886
175,177,Henley Beach Primary School,Henley Beach South,5022,Primary Education,6,-34.929734,138.499429
176,809,Henley High School,Henley Beach,5022,Secondary Education,5,-34.923383,138.500356
177,1876,Hewett Primary School,Hewett,5118,Primary Education,6,-34.575557,138.750309
178,596,Highbury Primary School,Hope Valley,5090,Primary Education,6,-34.847954,138.709995
179,1063,Highgate School,Highgate,5063,Primary Education,7,-34.962788,138.622561
180,665,Hillcrest Primary School,Hillcrest,5086,Primary Education,5,-34.866383,138.638678
181,938,Hincks Avenue Primary School,Whyalla Norrie,5608,Primary Education,1,-33.018515,137.544825
182,1067,Huntfield Heights School P-7,Huntfield Heights,5163,Primary Education,2,-35.153156,138.516924
183,1174,Indulkana Anangu School,Indulkana,872,Aboriginal/Anangu Schools,1,-26.965604,133.310547
184,925,Ingle Farm East Primary School,Ingle Farm,5098,Primary Education,4,-34.833826,138.651948
185,1162,Ingle Farm Primary School,Ingle Farm,5098,Primary Education,2,-34.827631,138.643207
186,777,Jamestown Community School,Jamestown,5491,Primary/Secondary Combined,6,-33.204904,138.609566
187,194,Jervois Primary School,Jervois,5259,Primary Education,4,-35.266177,139.437094
188,1901,John Hartley School (B-7),Smithfield Plains,5114,Primary Education,2,-34.680413,138.673586
189,792,John Pirie Secondary School,Port Pirie,5540,Secondary Education,2,-33.183024,138.010153
190,778,Kadina Memorial School,Kadina,5554,Primary/Secondary Combined,4,-33.960031,137.71013
191,197,Kalangadoo Primary School,Kalangadoo,5278,Primary Education,2,-37.564684,140.695568
192,198,Kangarilla Primary School,Kangarilla,5157,Primary Education,6,-35.147815,138.659484
193,957,Kangaroo Inn Area School,Kangaroo Inn,5280,Primary/Secondary Combined,6,-37.337672,140.244361
194,1882,Kangaroo Island Community Education,Kingscote,5223,Primary/Secondary Combined,6,-35.650387,137.633343
195,779,Kapunda High School,Kapunda,5373,Secondary Education,5,-34.332945,138.910495
196,200,Kapunda Primary School,Kapunda,5373,Primary Education,5,-34.337884,138.918053
197,1123,Karcultaby Area School,Karcultaby,5654,Primary/Secondary Combined,6,-32.760589,134.973839
198,756,Karoonda Area School,Karoonda,5307,Primary/Secondary Combined,6,-35.092167,139.89422
199,1135,Karrendi Primary School,Parafield Gardens,5107,Primary Education,2,-34.790544,138.618502
200,1792,Kaurna Plains School,Elizabeth,5112,Aboriginal/Anangu Schools,1,-34.725693,138.664561
201,757,Keith Area School,Keith,5267,Primary/Secondary Combined,6,-36.099603,140.351249
202,1847,Keithcot Farm Primary School,Wynn Vale,5127,Primary Education,6,-34.800056,138.676961
203,632,Keller Road Primary School,Salisbury East,5109,Primary Education,2,-34.792341,138.656283
204,1696,Kenmore Park Anangu School,Kenmore Park,872,Aboriginal/Anangu Schools,1,-26.326899,132.446178
205,204,Kersbrook Primary School,Kersbrook,5231,Primary Education,7,-34.782369,138.849721
206,205,Keyneton Primary School,Keyneton,5353,Primary Education,6,-34.554333,139.1338
207,996,Kidman Park Primary School,Kidman Park,5025,Primary Education,5,-34.912517,138.52471
208,207,Kilkenny Primary School,West Croydon,5008,Primary Education,4,-34.890875,138.552927
209,1372,Kilparrin Tch & Assessment Sch & Ser,Park Holme,5043,Special Education,6,-34.991038,138.555292
210,736,Kimba Area School,Kimba,5641,Primary/Secondary Combined,7,-33.135605,136.419417
211,737,Kingston Community School,Kingston SE,5275,Primary/Secondary Combined,5,-36.836572,139.857517
212,209,Kingston-on-Murray Primary School,Kingston on Murray,5331,Primary Education,4,-34.222619,140.346866
213,899,Kirton Point Primary School,Port Lincoln,5606,Primary Education,2,-34.731891,135.868237
214,898,Klemzig Primary School,Klemzig,5087,Primary Education,4,-34.877176,138.637665
215,211,Kongorong Primary School,Kongorong,5291,Primary Education,6,-37.902247,140.561148
216,212,Koolunga Primary School,Koolunga,5464,Primary Education,5,-33.580835,138.335026
217,1003,Koonibba Aboriginal School,Koonibba,5690,Aboriginal/Anangu Schools,1,-31.901766,133.424683
218,563,Lake Wangary School,Wangary,5607,Primary Education,4,-34.550294,135.479343
219,1908,Lake Windemere B-7 School,Salisbury North,5108,Primary Education,2,-34.740265,138.619702
220,759,Lameroo Regional Community School,Lameroo,5302,Primary/Secondary Combined,6,-35.331434,140.522579
221,219,Largs Bay School,Largs Bay,5016,Primary Education,5,-34.823666,138.494282
222,220,Laura Primary School,Laura,5480,Primary Education,5,-33.187073,138.303714
223,814,Le Fevre High School,Semaphore South,5019,Secondary Education,2,-34.845622,138.484995
224,221,Le Fevre Peninsula Primary School,Birkenhead,5015,Primary Education,4,-34.840072,138.495412
225,748,Leigh Creek Area School,Leigh Creek,5731,Primary/Secondary Combined,1,-30.592851,138.401496
226,136,Lenswood Primary School,Lenswood,5240,Primary Education,7,-34.922274,138.823468
227,223,Light Pass Primary School,Light Pass,5355,Primary Education,6,-34.46919,139.025019
228,1158,Lincoln Gardens Primary School,Port Lincoln,5606,Primary Education,1,-34.741991,135.847525
229,647,Linden Park Primary School,Linden Park,5065,Primary Education,7,-34.94781,138.645603
230,225,Littlehampton Primary School,Littlehampton,5250,Primary Education,7,-35.049417,138.868095
231,227,Lobethal Primary School,Lobethal,5241,Primary Education,6,-34.901735,138.871761
232,230,Lock Area School,Lock,5633,Primary/Secondary Combined,6,-33.567298,135.754637
233,911,Lockleys North Primary School,Lockleys,5032,Primary Education,6,-34.920591,138.537668
234,231,Lockleys Primary School,Brooklyn Park,5032,Primary Education,4,-34.930203,138.535095
235,1133,Long Street Primary School,Whyalla Norrie,5608,Primary Education,2,-33.038921,137.533009
236,1098,Lonsdale Heights Primary School,Christie Downs,5164,Primary Education,2,-35.124772,138.501556
237,895,Loxton High School,Loxton,5333,Secondary Education,4,-34.443053,140.585017
238,678,Loxton North School,Loxton North,5333,Primary Education,4,-34.413133,140.624328
239,760,Loxton Primary School,Loxton,5333,Primary Education,4,-34.451324,140.567155
240,749,Lucindale Area School,Lucindale,5272,Primary/Secondary Combined,6,-36.964206,140.370633
241,237,Lyndoch Primary School,Lyndoch,5351,Primary Education,6,-34.60554,138.885678
242,239,Macclesfield Primary School,Macclesfield,5153,Primary Education,6,-35.171315,138.83847
243,649,Madison Park School,Salisbury East,5109,Primary Education,3,-34.783863,138.662355
244,1213,Magill School,Magill,5072,Primary Education,7,-34.91362,138.676746
245,241,Mallala Primary School,Mallala,5502,Primary Education,5,-34.43456,138.510526
246,1170,Mannum Community College,Mannum,5238,Primary/Secondary Combined,3,-34.912544,139.303495
247,245,Manoora Primary School,Manoora,5414,Primary Education,5,-34.006284,138.814121
248,583,Marden Senior College,Marden,5070,Secondary Education,2,-34.891954,138.63523
249,993,Marion Primary School,Marion,5043,Primary Education,4,-35.00386,138.555218
250,1900,Mark Oliphant College (B-12),Munno Para,5115,Primary/Secondary Combined,2,-34.665475,138.683575
251,248,Marree Aboriginal School,Marree,5733,Aboriginal/Anangu Schools,1,-29.649185,138.061054
252,817,Marryatville High School,Marryatville,5068,Secondary Education,6,-34.928185,138.645753
253,249,Marryatville Primary School,Kensington,5068,Primary Education,7,-34.924542,138.649185
254,987,Mawson Lakes School,Mawson Lakes,5095,Primary Education,6,-34.809171,138.61436
255,1021,McDonald Park School,Mount Gambier,5290,Primary Education,4,-37.825702,140.793167
256,250,McLaren Flat Primary School,McLaren Flat,5171,Primary Education,7,-35.206513,138.587256
257,251,McLaren Vale Primary School,McLaren Vale,5171,Primary Education,6,-35.211655,138.531438
258,252,Meadows Primary School,Meadows,5201,Primary Education,7,-35.180498,138.761924
259,1020,Melaleuca Park Primary School,Mount Gambier,5290,Primary Education,1,-37.83974,140.79438
260,253,Melrose Primary School,Melrose,5483,Primary Education,7,-32.823816,138.187871
261,479,Memorial Oval Primary School,Whyalla,5600,Primary Education,3,-33.033445,137.568711
262,750,Meningie Area School,Meningie,5264,Primary/Secondary Combined,2,-35.682635,139.342158
263,214,Mid North Education Centre,Port Pirie,5540,Special Education,2,-33.17503,138.005415
264,265,Mil Lel Primary School,Mil-Lel,5291,Primary Education,6,-37.781125,140.825631
265,780,Millicent High School,Millicent,5280,Secondary Education,2,-37.590971,140.358711
266,605,Millicent North Primary School,Millicent,5280,Primary Education,3,-37.592968,140.343376
267,1121,Miltaburra Area School,Wirrulla,5661,Primary/Secondary Combined,6,-32.375617,134.33113
268,1527,Mimili Anangu School,Mimili,872,Aboriginal/Anangu Schools,1,-27.006196,132.70862
269,781,Minlaton District School,Minlaton,5575,Primary/Secondary Combined,5,-34.765873,137.593581
270,903,Mitcham Girls High School,Kingswood,5062,Secondary Education,6,-34.969865,138.610036
271,270,Mitcham Primary School,Kingswood,5062,Primary Education,7,-34.972708,138.616124
272,1071,Moana Primary School,Seaford,5169,Primary Education,5,-35.191836,138.474624
273,964,Modbury High School,Modbury,5092,Secondary Education,5,-34.836789,138.697008
274,272,Modbury School Preschool to Year 7,Modbury North,5092,Primary Education,4,-34.825869,138.69228
275,1047,Modbury South Primary School,Hope Valley,5090,Primary Education,5,-34.840321,138.697193
276,1405,Modbury Special School,Hope Valley,5090,Special Education,5,-34.840321,138.697193
277,1210,Modbury West School,Modbury,5092,Primary Education,5,-34.833194,138.676764
278,274,Monash Primary and Preschool,Monash,5342,Primary Education,5,-34.236306,140.559419
279,1488,Moonta Area School,Moonta,5558,Primary/Secondary Combined,4,-34.070885,137.59135
280,279,Moorak Primary School,Moorak,5291,Primary Education,5,-37.864704,140.73694
281,280,Moorook Primary School,Moorook,5332,Primary Education,4,-34.276231,140.351142
282,282,Morgan Primary School,Morgan,5320,Primary Education,2,-34.030239,139.670103
283,1188,Morphett Vale East School R-7,Morphett Vale,5162,Primary Education,3,-35.121601,138.530921
284,1906,Morphett Vale Primary School,Morphett Vale,5162,Primary Education,4,-35.107523,138.514358
285,783,Mount Barker High School,Mount Barker,5251,Secondary Education,5,-35.074991,138.85705
286,285,Mount Barker Primary School,Mount Barker,5251,Primary Education,6,-35.067641,138.853522
287,1539,Mount Barker South Primary School,Mount Barker,5251,Primary Education,5,-35.080093,138.859874
288,288,Mount Burr Primary School,Mount Burr,5279,Primary Education,4,-37.541193,140.4591
289,289,Mount Compass Area School,Mount Compass,5210,Primary/Secondary Combined,6,-35.350245,138.619809
290,784,Mount Gambier High School,Mount Gambier,5290,Secondary Education,3,-37.826147,140.765689
291,953,Mount Gambier North Primary School,Mount Gambier,5290,Primary Education,2,-37.81683,140.775534
292,293,Mount Pleasant Primary School,Mount Pleasant,5235,Primary Education,5,-34.774374,139.053842
293,1650,Mulga Street Primary School,Mount Gambier,5290,Primary Education,3,-37.811663,140.759988
294,297,Mundulla Primary School,Mundulla,5270,Primary Education,6,-36.357628,140.693069
295,1482,Munno Para Primary School,Munno Para,5115,Primary Education,2,-34.669727,138.699713
296,1859,Murputja Anangu School,Murputja Homelands,872,Aboriginal/Anangu Schools,1,-26.159352,130.183455
297,785,Murray Bridge High School,Murray Bridge,5253,Secondary Education,2,-35.135051,139.285294
298,299,Murray Bridge North School,Murray Bridge,5253,Primary Education,2,-35.115818,139.26955
299,950,Murray Bridge South Primary School,Murray Bridge,5253,Primary Education,1,-35.132254,139.282374
300,116,Murray Bridge Special School,Murray Bridge,5253,Special Education,3,-35.115818,139.26955
301,301,Mylor Primary School,Mylor,5153,Primary Education,7,-35.040998,138.760099
302,302,Mypolonga Primary School,Mypolonga,5254,Primary Education,5,-35.040591,139.357523
303,303,Myponga Primary School,Myponga,5202,Primary Education,5,-35.392678,138.464453
304,305,Nailsworth Primary School,Nailsworth,5083,Primary Education,6,-34.88242,138.603752
305,306,Nairne Primary School,Nairne,5252,Primary Education,7,-35.038365,138.903587
306,592,Nangwarry Primary School,Nangwarry,5277,Primary Education,2,-37.541501,140.818328
307,308,Napperby Primary School,Napperby,5540,Primary Education,3,-33.153613,138.113718
308,786,Naracoorte High School,Naracoorte,5271,Secondary Education,4,-36.948548,140.726873
309,309,Naracoorte Primary School,Naracoorte,5271,Primary Education,5,-36.951082,140.738119
310,936,Naracoorte South Primary School,Naracoorte,5271,Primary Education,4,-36.97269,140.746742
311,970,Newbery Park Primary School,Millicent,5280,Primary Education,2,-37.608624,140.363491
312,677,Nicolson Avenue Primary School,Whyalla Norrie,5608,Primary Education,2,-33.029095,137.549705
313,1068,Noarlunga Downs Primary School,Noarlunga Downs,5168,Primary Education,2,-35.150105,138.496303
314,179,North Adelaide Primary School,North Adelaide,5006,Primary Education,7,-34.905096,138.597558
315,1375,North Haven School,North Haven,5018,Primary Education,5,-34.790385,138.497563
316,1183,North Ingle School,Ingle Farm,5098,Primary Education,4,-34.819255,138.64517
317,1012,Northern Adelaide Senior College,Elizabeth,5112,Secondary Education,2,-34.713319,138.669144
318,314,Northfield Primary School,Northfield,5085,Primary Education,3,-34.848975,138.619862
319,316,Norton Summit Primary School,Norton Summit,5136,Primary Education,7,-34.927695,138.728837
320,787,Norwood Morialta High School,Magill,5072,Secondary Education,6,-34.918101,138.672233
