ID,School_Number,School_Name,Suburb,Post_Code,Type_of_Schooling,Index_of_Educational_Disadvantage,Latitude,Longitude
391,381,Richmond Primary School,Keswick,5035,Primary Education,4,-34.943391,138.571798
392,1051,Ridgehaven Primary School,Ridgehaven,5097,Primary Education,6,-34.817997,138.710257
393,685,Risdon Park Primary School,Port Pirie,5540,Primary Education,2,-33.203247,138.008071
394,1427,Riverdale Primary School,Salisbury Downs,5108,Primary Education,3,-34.766448,138.613754
395,962,Riverland Special School,Berri,5343,Special Education,3,-34.279428,140.61035
396,795,Riverton and District High School,Riverton,5412,Secondary Education,4,-34.156173,138.749643
397,383,Riverton Primary School,Riverton,5412,Primary Education,5,-34.15606,138.744199
398,384,Robe Primary School,Robe,5276,Primary Education,6,-37.163742,139.761639
399,385,Robertstown Primary School,Robertstown,5381,Primary Education,4,-33.989691,139.084056
400,1902,Roma Mitchell Secondary College,Gepps Cross,5094,Secondary Education,3,-34.843058,138.618235
401,169,Rose Park Primary School,Rose Park,5067,Primary Education,7,-34.93161,138.628893
402,387,Roseworthy Primary School,Roseworthy,5371,Primary Education,7,-34.53392,138.748218
403,1817,Roxby Downs Area School,Roxby Downs,5725,Primary/Secondary Combined,5,-30.560299,136.897084
404,1014,SA School for Vision Impaired,Park Holme,5043,Special Education,6,-34.991009,138.5549
405,389,Saddleworth Primary School,Saddleworth,5413,Primary Education,4,-34.084411,138.784802
406,1194,Salisbury Downs Primary School,Salisbury Downs,5108,Primary Education,2,-34.771193,138.622667
407,1011,Salisbury East High School,Salisbury East,5109,Secondary Education,2,-34.775903,138.667185
408,1177,Salisbury Heights Primary School,Salisbury Heights,5109,Primary Education,5,-34.758984,138.678709
409,892,Salisbury High School,Salisbury North,5108,Secondary Education,2,-34.755983,138.640772
410,664,Salisbury North R-7 School,Salisbury North,5108,Primary Education,2,-34.753217,138.63533
411,1140,Salisbury Park Primary School,Salisbury Park,5109,Primary Education,3,-34.759701,138.668718
412,1041,Salisbury Primary School,Salisbury,5108,Primary Education,2,-34.766984,138.647399
413,395,Sandy Creek Primary School,Cockatoo Valley,5351,Primary Education,6,-34.610068,138.829663
414,396,Scott Creek Primary School,Scott Creek,5153,Primary Education,7,-35.056668,138.706377
415,913,Seacliff Primary School,Seacliff,5049,Primary Education,7,-35.037444,138.523767
416,1207,Seaford K-7 Birth-Y7 Campus,Port Noarlunga South,5167,Primary Education,5,-35.175691,138.472006
417,1855,Seaford Rise Primary School,Seaford Rise,5169,Primary Education,5,-35.199278,138.487571
418,641,Seaford Secondary College,Seaford,5169,Primary/Secondary Combined,4,-35.187173,138.482221
419,941,Seaton High School,Seaton,5023,Secondary Education,4,-34.886112,138.505556
420,397,Seaton Park Primary School,Seaton,5023,Primary Education,2,-34.895535,138.519943
421,984,Seaview Downs Primary School,Seaview Downs,5049,Primary Education,6,-35.041379,138.536114
422,893,Seaview High School,Seacombe Heights,5047,Secondary Education,5,-35.030039,138.547313
423,1851,Settlers Farm Campus R-7,Paralowie,5108,Primary Education,4,-34.756588,138.595761
424,1537,Sheidow Park Primary School,Sheidow Park,5158,Primary Education,6,-35.071074,138.533052
425,742,Snowtown Primary School,Snowtown,5520,Primary Education,3,-33.783548,138.221653
426,406,Solomontown Primary School,Port Pirie,5540,Primary Education,2,-33.18994,138.019589
427,1038,South Downs Primary School,Elizabeth Downs,5113,Primary Education,1,-34.706102,138.685487
428,407,Spalding Primary School,Spalding,5454,Primary Education,5,-33.496312,138.611066
429,975,Springbank Secondary College,Pasadena,5042,Secondary Education,4,-34.993333,138.590102
430,408,Springton Primary School,Springton,5235,Primary Education,5,-34.706581,139.088713
431,1091,St Agnes Primary School,St Agnes,5097,Primary Education,6,-34.83106,138.718391
432,391,St Leonards Primary School,Glenelg North,5045,Primary Education,6,-34.972261,138.519785
433,411,Stansbury Primary School,Stansbury,5582,Primary Education,4,-34.907642,137.794689
434,413,Stirling East Primary School,Stirling,5152,Primary Education,7,-35.002222,138.734746
435,1481,Stirling North Primary School,Stirling North,5710,Primary Education,3,-32.513732,137.837712
436,923,Stradbroke School,Rostrevor,5073,Primary Education,7,-34.89348,138.684457
437,745,Streaky Bay Area School,Streaky Bay,5680,Primary/Secondary Combined,5,-32.798217,134.201213
438,1195,Stuart High School,Whyalla Stuart,5608,Secondary Education,1,-33.015064,137.517105
439,1881,Sturt Street Community School,Adelaide,5000,Primary Education,5,-34.933817,138.590211
440,1100,Surrey Downs R-7 School,Surrey Downs,5126,Primary Education,6,-34.800032,138.711462
441,422,Suttontown Primary School,Suttontown,5291,Primary Education,5,-37.797141,140.76955
442,1062,Swallowcliffe School P-7,Davoren Park,5113,Primary Education,1,-34.696782,138.664155
443,423,Swan Reach Area School,Swan Reach,5354,Primary/Secondary Combined,4,-34.571572,139.604009
444,424,Tailem Bend Primary School,Tailem Bend,5260,Primary Education,3,-35.259104,139.457249
445,426,Tantanoola Primary School,Tantanoola,5280,Primary Education,5,-37.698832,140.454312
446,427,Tanunda Primary School,Tanunda,5352,Primary Education,6,-34.516742,138.982066
447,430,Tarlee Primary School,Tarlee,5411,Primary Education,5,-34.269925,138.772668
448,432,Tea Tree Gully Primary School,Tea Tree Gully,5091,Primary Education,6,-34.822942,138.727177
449,844,The Grove Education Centre,Woodville,5011,Special Education,4,-34.873425,138.544354
450,1430,The Heights School,Modbury Heights,5092,Primary/Secondary Combined,5,-34.811143,138.682725
451,1777,The Pines School,Parafield Gardens,5107,Primary Education,3,-34.77288,138.607741
452,810,Thebarton Senior College,Torrensville,5031,Secondary Education,3,-34.917275,138.562772
453,1664,Thiele Primary School,Aberfoyle Park,5159,Primary Education,6,-35.067805,138.594104
454,1154,Thorndon Park Primary School,Athelstone,5076,Primary Education,6,-34.884079,138.693612
455,438,Tintinara Area School,Tintinara,5266,Primary/Secondary Combined,7,-35.882787,140.061691
456,1285,Torrensville Primary School,Torrensville,5031,Primary Education,5,-34.919368,138.556719
457,474,Trinity Gardens School,Trinity Gardens,5068,Primary Education,7,-34.908388,138.641387
458,442,Truro Primary School,Truro,5356,Primary Education,5,-34.41121,139.126378
459,743,Tumby Bay Area School,Tumby Bay,5605,Primary/Secondary Combined,5,-34.37575,136.099182
460,444,Two Wells Primary School,Two Wells,5501,Primary Education,5,-34.591316,138.516996
461,965,Underdale High School,Underdale,5032,Secondary Education,4,-34.918948,138.544174
462,446,Ungarra Primary School,Ungarra,5607,Primary Education,7,-34.180902,136.046934
463,797,Unley High School,Netherby,5062,Secondary Education,6,-34.970162,138.620336
464,447,Unley Primary School,Unley,5061,Primary Education,7,-34.954404,138.608609
465,448,Upper Sturt Primary School,Upper Sturt,5156,Primary Education,7,-35.018986,138.683375
466,449,Uraidla Primary School,Uraidla,5142,Primary Education,7,-34.959029,138.743391
467,798,Urrbrae Agricultural High School,Netherby,5062,Secondary Education,7,-34.966911,138.62526
468,967,Vale Park Primary School,Vale Park,5081,Primary Education,6,-34.885256,138.626323
469,1184,Valley View Secondary School,Para Vista,5093,Secondary Education,3,-34.83428,138.656585
470,799,Victor Harbor High School,Victor Harbor,5211,Secondary Education,4,-35.556148,138.611226
471,453,Victor Harbor R-7 School,Victor Harbor,5211,Primary Education,5,-35.541373,138.624567
472,455,Virginia Primary School,Virginia,5120,Primary Education,5,-34.664655,138.555957
473,800,Waikerie High School,Waikerie,5330,Secondary Education,4,-34.184679,139.974643
474,456,Waikerie Primary School,Waikerie,5330,Primary Education,4,-34.181117,139.981115
475,457,Walkerville Primary School,Walkerville,5081,Primary Education,7,-34.895194,138.613241
476,460,Wallaroo Mines Primary School,Kadina,5554,Primary Education,3,-33.965894,137.69872
477,459,Wallaroo Primary School,Wallaroo,5556,Primary Education,2,-33.932746,137.624271
478,994,Wandana Primary School,Gilles Plains,5086,Primary Education,2,-34.849122,138.661511
479,467,Warooka Primary School,Warooka,5577,Primary Education,5,-34.990564,137.39902
480,933,Warradale Primary School,Warradale,5046,Primary Education,5,-35.003708,138.537005
481,1364,Warriappendi School,Marleston,5033,Secondary Education,1,-34.942677,138.570592
482,469,Wasleys Primary School,Wasleys,5400,Primary Education,5,-34.471456,138.680418
483,1717,Watarru Anangu School,Pipalyatjara,872,Aboriginal/Anangu Schools,1,-26.162549,129.172118
484,470,Watervale Primary School,Watervale,5452,Primary Education,7,-33.960982,138.644648
485,1004,West Beach Primary School,West Beach,5024,Primary Education,6,-34.937821,138.508809
486,1246,West Lakes Shore School R-7,West Lakes Shore,5020,Primary Education,6,-34.863454,138.481808
487,475,Westbourne Park Primary School,Westbourne Park,5041,Primary Education,7,-34.969224,138.591941
488,1203,Westport Primary School,Semaphore Park,5019,Primary Education,3,-34.855007,138.491158
489,822,Whyalla High School,Whyalla,5600,Secondary Education,2,-33.038453,137.58087
490,559,Whyalla Special Education Centre,Whyalla Norrie,5608,Special Education,2,-33.029959,137.548577
491,625,Whyalla Stuart Campus R-7,Whyalla Stuart,5608,Primary Education,1,-33.015064,137.517105
492,478,Whyalla Town Primary School,Whyalla,5600,Primary Education,4,-33.036609,137.585025
493,482,Williamstown Primary School,Williamstown,5351,Primary Education,6,-34.667865,138.890446
494,679,Willsden Primary School,Port Augusta,5700,Primary Education,1,-32.506303,137.780351
495,909,Willunga High School,Willunga,5172,Secondary Education,5,-35.263056,138.555471
496,744,Willunga Primary School,Willunga,5172,Primary Education,6,-35.269384,138.552628
497,483,Wilmington Primary School,Wilmington,5485,Primary Education,4,-32.651173,138.101868
498,638,Wirreanda Secondary School,Morphett Vale,5162,Secondary Education,3,-35.127607,138.533815
499,1776,Woodcroft Primary School,Woodcroft,5162,Primary Education,6,-35.10505,138.556331
500,1056,Woodend Primary School,Sheidow Park,5158,Primary Education,7,-35.079379,138.533847
501,495,Woodside Primary School,Woodside,5244,Primary Education,7,-34.952342,138.879672
502,1904,Woodville Gardens School B-7,Woodville Gardens,5012,Primary Education,2,-34.863319,138.55068
503,801,Woodville High School,St Clair,5011,Secondary Education,2,-34.872943,138.540808
504,497,Woodville Primary School,Woodville South,5011,Primary Education,4,-34.880569,138.532716
505,746,Woomera Area School,Woomera,5720,Primary/Secondary Combined,3,-31.197164,136.825489
506,765,Wudinna Area School,Wudinna,5652,Primary/Secondary Combined,6,-33.044622,135.462876
507,533,Wynn Vale R-7 School,Wynn Vale,5127,Primary Education,6,-34.800674,138.687256
508,501,Yahl Primary School,Yahl,5291,Primary Education,4,-37.879293,140.832014
509,999,Yalata Anangu School,Yalata,5690,Aboriginal/Anangu Schools,1,-31.480012,131.843548
510,766,Yankalilla Area School,Yankalilla,5203,Primary/Secondary Combined,5,-35.4533,138.333092
511,767,Yorketown Area School,Yorketown,5576,Primary/Secondary Combined,4,-35.015376,137.615442
512,195,Youth Education Centre,Cavan,5094,Secondary Education,1,-34.828265,138.60253
